uniqueFlowsetId,flowNumber,srcAddr,dstAddr,srcPort,dstPort,forwardingStatus,forwardingStatusCode,nextHop,outputInt,outputDirection,bytes,packets,timeDelta
15,13,10.146.170.36,117.105.89.22,61308,53,null,null,198.208.133.142,15,null,93,1,0.0
16,1,10.146.170.36,130.173.33.162,61309,53,null,null,198.208.134.142,15,null,93,1,0.0
16,2,130.173.33.162,10.146.170.36,53,61306,null,null,10.193.197.243,16,null,91,1,0.0
16,3,130.173.33.162,10.146.170.36,53,61309,null,null,10.193.197.243,16,null,146,1,0.0
16,4,10.146.165.149,10.47.18.237,59273,53,null,null,198.208.210.68,15,null,85,1,0.0
16,5,10.146.162.52,10.47.18.237,36103,53,null,null,198.208.210.69,15,null,85,1,0.0
16,6,10.146.165.40,10.47.18.237,48356,53,null,null,198.208.210.69,15,null,85,1,0.0
16,7,10.47.18.237,10.146.164.196,53,35962,null,null,10.193.204.227,18,null,83,1,0.0
16,8,10.146.168.25,144.72.225.21,62521,8080,null,null,198.208.211.4,1,null,120,2,0.0
16,9,10.146.162.201,10.47.18.237,55180,53,null,null,198.208.210.69,15,null,85,1,0.0
16,10,10.146.162.139,10.47.18.237,58505,53,null,null,10.205.14.164,11,null,85,1,0.0
16,11,10.146.171.175,10.47.18.237,59901,53,null,null,10.205.14.164,11,null,85,1,0.0
16,12,10.146.165.92,10.124.217.255,43146,32111,null,null,198.208.210.69,15,null,122,2,0.0
16,13,10.146.170.36,117.105.89.22,61311,53,null,null,198.208.133.142,15,null,93,1,0.0
17,1,10.146.170.36,130.173.33.162,61312,53,null,null,198.208.134.142,15,null,93,1,0.0
17,2,10.146.170.36,117.105.89.22,61315,53,null,null,198.208.133.142,15,null,93,1,0.0
17,3,10.146.170.36,130.173.33.162,61316,53,null,null,198.208.134.142,15,null,93,1,0.0
17,4,130.173.33.162,10.146.170.36,53,61312,null,null,10.193.197.243,16,null,91,1,0.0
17,5,130.173.33.162,10.146.170.36,53,61316,null,null,10.193.197.243,16,null,146,1,0.0
17,6,10.47.18.237,10.146.165.149,53,59273,null,null,10.193.204.227,18,null,83,1,0.0
17,7,10.146.162.118,10.47.18.237,58030,53,null,null,198.208.210.69,15,null,85,1,0.0
17,8,10.47.18.237,10.146.165.40,53,48356,null,null,10.193.204.227,18,null,83,1,0.0
17,9,10.47.18.237,10.146.162.139,53,58505,null,null,10.193.204.227,18,null,83,1,0.0
17,10,11.67.68.11,10.173.54.9,2000,60097,null,null,10.193.197.243,16,null,52,1,0.0
17,11,10.124.217.255,10.146.165.92,32111,43146,null,null,10.193.197.243,16,null,44,1,0.0
17,12,10.146.170.36,117.105.89.22,61318,53,null,null,198.208.133.142,15,null,95,1,0.0
17,13,10.146.170.36,130.173.33.162,61319,53,null,null,198.208.134.142,15,null,95,1,0.0
18,1,10.146.170.36,117.105.89.22,61321,53,null,null,198.208.133.142,15,null,95,1,0.0
